capture_id,scenario_id,scenario_family,label_binary,original_flow_count,capped_flow_count,cap_applied
v1_campaign_20260328_0208_N21_run03,N21,normal_http_short,normal,300,120,120.0
v1_campaign_20260328_0208_N21_run04,N21,normal_http_short,normal,300,120,120.0
v1_campaign_20260328_0208_N21_run05,N21,normal_http_short,normal,300,120,120.0
v1_campaign_20260328_0208_N21_run06,N21,normal_http_short,normal,300,120,120.0
v1_campaign_20260328_0208_N21_run07,N21,normal_http_short,normal,300,120,120.0
v1_campaign_20260328_0208_N21_run08,N21,normal_http_short,normal,300,120,120.0
v1_campaign_20260328_0208_N21_run09,N21,normal_http_short,normal,300,120,120.0
v1_campaign_20260328_0208_N21_run10,N21,normal_http_short,normal,301,120,120.0
v1_campaign_20260328_0208_N21_run11,N21,normal_http_short,normal,300,120,120.0
v1_campaign_20260328_0208_N21_run12,N21,normal_http_short,normal,300,120,120.0
v1_campaign_20260328_0208_N21_run13,N21,normal_http_short,normal,300,120,120.0
v1_campaign_20260328_0208_N21_run14,N21,normal_http_short,normal,300,120,120.0
v1_campaign_20260328_0208_N22_run01,N22,normal_dns_burst,normal,503,180,180.0
v1_campaign_20260328_0208_N22_run02,N22,normal_dns_burst,normal,497,180,180.0
v1_campaign_20260328_0208_N22_run03,N22,normal_dns_burst,normal,497,180,180.0
v1_campaign_20260328_0208_N22_run04,N22,normal_dns_burst,normal,499,180,180.0
v1_campaign_20260328_0208_N22_run05,N22,normal_dns_burst,normal,500,180,180.0
v1_campaign_20260328_0208_N22_run06,N22,normal_dns_burst,normal,496,180,180.0
v1_campaign_20260328_0208_N22_run07,N22,normal_dns_burst,normal,501,180,180.0
v1_campaign_20260328_0208_N23_run01,N23,normal_ssh_short,normal,151,120,120.0
v1_campaign_20260328_0208_N23_run02,N23,normal_ssh_short,normal,150,120,120.0
v1_campaign_20260328_0208_N23_run03,N23,normal_ssh_short,normal,150,120,120.0
v1_campaign_20260328_0208_N23_run04,N23,normal_ssh_short,normal,154,120,120.0
v1_campaign_20260328_0208_N23_run05,N23,normal_ssh_short,normal,150,120,120.0
v1_campaign_20260328_0208_N23_run06,N23,normal_ssh_short,normal,150,120,120.0
v1_campaign_20260328_0208_N23_run07,N23,normal_ssh_short,normal,150,120,120.0
v1_campaign_20260328_0208_N24_run01,N24,normal_wget_burst,normal,120,100,100.0
v1_campaign_20260328_0208_N24_run02,N24,normal_wget_burst,normal,120,100,100.0
v1_campaign_20260328_0208_N24_run03,N24,normal_wget_burst,normal,120,100,100.0
v1_campaign_20260328_0208_N24_run04,N24,normal_wget_burst,normal,120,100,100.0
v1_campaign_20260328_0208_N24_run05,N24,normal_wget_burst,normal,120,100,100.0
v1_campaign_20260328_0208_N24_run06,N24,normal_wget_burst,normal,120,100,100.0
v1_campaign_20260328_0208_N24_run07,N24,normal_wget_burst,normal,120,100,100.0
v1_campaign_20260328_0208_N30_run01,N30,normal_https_short,normal,300,140,140.0
v1_campaign_20260328_0208_N30_run02,N30,normal_https_short,normal,300,140,140.0
v1_campaign_20260328_0208_N30_run03,N30,normal_https_short,normal,300,140,140.0
v1_campaign_20260328_0208_N30_run04,N30,normal_https_short,normal,300,140,140.0
v1_campaign_20260328_0208_N30_run05,N30,normal_https_short,normal,296,140,140.0
v1_campaign_20260328_0208_N30_run06,N30,normal_https_short,normal,300,140,140.0
v1_campaign_20260328_0208_N30_run07,N30,normal_https_short,normal,300,140,140.0
v1_campaign_20260328_0208_N30_run08,N30,normal_https_short,normal,301,140,140.0
v1_campaign_20260328_0208_N30_run09,N30,normal_https_short,normal,300,140,140.0
v1_campaign_20260328_0208_N30_run10,N30,normal_https_short,normal,300,140,140.0
v1_campaign_20260328_0208_S20_run01,S20,scan_syn_large,suspect,1005,350,350.0
v1_campaign_20260328_0208_S20_run02,S20,scan_syn_large,suspect,1002,350,350.0
v1_campaign_20260328_0208_S20_run03,S20,scan_syn_large,suspect,1002,350,350.0
v1_campaign_20260328_0208_S20_run04,S20,scan_syn_large,suspect,1000,350,350.0
v1_campaign_20260328_0208_S20_run05,S20,scan_syn_large,suspect,1000,350,350.0
v1_campaign_20260328_0208_S20_run06,S20,scan_syn_large,suspect,1000,350,350.0
v1_campaign_20260328_0208_S21_run01,S21,scan_connect_large,suspect,1997,500,500.0
v1_campaign_20260328_0208_S21_run02,S21,scan_connect_large,suspect,1996,500,500.0
v1_campaign_20260328_0208_S21_run03,S21,scan_connect_large,suspect,1996,500,500.0
v1_campaign_20260328_0208_S22_run01,S22,scan_udp_large,suspect,600,250,250.0
v1_campaign_20260328_0208_S22_run02,S22,scan_udp_large,suspect,600,250,250.0
v1_campaign_20260328_0208_S22_run03,S22,scan_udp_large,suspect,600,250,250.0
v1_campaign_20260328_0208_S22_run04,S22,scan_udp_large,suspect,598,250,250.0
v1_campaign_20260328_0208_S22_run05,S22,scan_udp_large,suspect,600,250,250.0
v1_campaign_20260328_0208_S22_run06,S22,scan_udp_large,suspect,601,250,250.0
v1_campaign_20260328_0208_S24_run01,S24,failed_connection_burst,suspect,200,160,160.0
v1_campaign_20260328_0208_S24_run02,S24,failed_connection_burst,suspect,200,160,160.0
v1_campaign_20260328_0208_S24_run03,S24,failed_connection_burst,suspect,200,160,160.0
v1_campaign_20260328_0208_S24_run04,S24,failed_connection_burst,suspect,200,160,160.0
v1_campaign_20260328_0208_S24_run05,S24,failed_connection_burst,suspect,200,160,160.0
v1_campaign_20260328_0208_S24_run06,S24,failed_connection_burst,suspect,200,160,160.0
v1_campaign_20260328_0208_S24_run07,S24,failed_connection_burst,suspect,200,160,160.0
v1_campaign_20260328_0208_S25_run01,S25,scan_syn_slow,suspect,201,160,160.0
v1_campaign_20260328_0208_S25_run02,S25,scan_syn_slow,suspect,204,160,160.0
v1_campaign_20260328_0208_S25_run03,S25,scan_syn_slow,suspect,202,160,160.0
v1_campaign_20260328_0208_S25_run04,S25,scan_syn_slow,suspect,200,160,160.0
v1_campaign_20260328_0208_S25_run05,S25,scan_syn_slow,suspect,201,160,160.0
v1_campaign_20260328_0208_S25_run06,S25,scan_syn_slow,suspect,200,160,160.0
v1_campaign_20260328_0208_S25_run07,S25,scan_syn_slow,suspect,201,160,160.0
v2_complement_20260328_1225_N31_run01,N31,normal_https_download,normal,80,80,80.0
v2_complement_20260328_1225_N31_run02,N31,normal_https_download,normal,80,80,80.0
v2_complement_20260328_1225_N35_run01,N35,normal_scp,normal,20,20,20.0
v2_complement_20260328_1225_N36_run01,N36,normal_admin_mixed,normal,50,50,50.0
v2_complement_20260328_1225_S23_run01,S23,syn_burst_multiport,suspect,200,180,180.0
v2_complement_20260328_1225_S23_run02,S23,syn_burst_multiport,suspect,205,180,180.0
v2_complement_20260328_1225_S30_run01,S30,ssh_bruteforce_light,suspect,61,60,60.0
v2_complement_20260328_1225_S31_run01,S31,web_probe_https,suspect,60,60,60.0
